sens,label
thank you goodbye,0
i am looking for a cheap restaurant with chinese food,4
south part of town ,0
yes what is their phone number and address,0
excellent thanks a lot i think thats everything i need,0
im looking for kosher food in the north if not then french,0
okay what is the address,0
the phone number please,0
thank you have a great day,0
i am looking for a restaurant that serves malaysian food and is in the cheap price range,4
how about vietnamese food please,0
that sounds great  may i have their phone number please ,0
okay thank you for your help,0
i am looking for a cheap restaurant,4
i want somewhere in the center ,0
i made a mistake i am looking for a cheap restaurant in the north part of town,0
i prefer indian food,0
is there anything else,0
how about that italian restaurant,0
thank you for the information goodbye,0
i need a steakhouse in the north part of town please what can you recommend,0
how about chinese ,0
i was really looking for something that would serve a steak or chinese type food,0
can i have the phone number,0
thank you goodbye ,0
what cheap restaurants are there in the east end,1
what cheap restaurants are there in the east side of town,1
super can i get the phone number and postcode please,1
sounds great thanks goodbye,1
could you please help me find an expensive restaurant in the south part of town,2
yes what kind of food do they serve,0
could you please give me the phone number of whichever one you like better,0
thank you goodbye,0
can you tell me where to find unusual food,0
then can you find me the phone number of an international restaurant near the centre of the city,0
thank you what are the phone numbers for these restaurants,0
what are there price ranges,0
i see thank you for the support,0
im looking for a place that has chinese food,0
yes im looking for the address of one in the east part of town ,0
thank you goodbye,0
i am looking for a restaurant in the west part of town,0
i would like christmas food,0
how about british food,0
either one is fine ,1
 i want the address and phone number,1
thank you goodbye ,1
i would like to find a danish restaurant this is moderately priced,3
go for it ,0
no how about gastropub type food may i please have the address phone number and area,0
thank you,0
no thank you ,0
hello i am looking for a restaurant on the south side of town that serves international food ,0
how about chinese food,0
can i have the address of lucky star,0
thank you,0
i want to find a cheap restaurant in the east part of town,4
what is the address and phone number,0
ok thanks thats all i need,0
hi  this might be a long shot but can you help me find a restaurant that serves swedish food  i dont care about price,1
how about asian oriental type of food,1
no thank you  i just need the address and postcode please,1
no thank you goodbye,1
hi i would like to find a cheap restaurant on the east side of town,4
can i have the phone number and postcode please,0
awesome thank you so much,0
anything expensive ,2
is there anything in the east part if not please give me the phone number and address for backstreet bistro,0
i am looking for a cheap restaurant on the west side of town may i have the phone number and address,4
thank you good bye,0
im looking for something cheap,4
nope but it should be in the south,1
can you give me phone numbers for both,1
nope,1
thank you good bye,1
click,1
i want a restaurant on the west side with halal food,0
i would like a chinese restaurant on the west side then,0
ae there indian restaurants in other areas,1
ive already mentioned this  please give me the address and phone number for an indian restaurant on the west side of town,0
i want to find a restaurant in the north part of town that serves malaysian food if there isnt one how about asian oriental type of food i would like to know the address and phone number,0
yes what is the address and phone number for the asian oriental restaurant ,0
great thanks,0
no thats all good bye,0
i am looking for english food in any price range,1
how about turkish type food ill need an address and postcode please,1
thank you  goodbye,1
i want your most expensive restaurant in the south town,2
i dont care,1
ok can you tell me the other restaurants,1
great can you please tell me the address and the phone number of frankie and bennys ,1
thank you goodbye,1
im looking for an african restaurant anywhere,1
phone number please,1
thanks thats all i need  bye,1
im looking for scandinavian food in any area,1
yes could you look for a vietnamese restaurant,1
that will work i would like the address and phone number to the thanh binh restaurant please,1
i need the address too please,1
thats it thank you goodbye,1
i want a moderately priced restaurant,3
the south part of town ,0
no preference you choose one please,1
what is the address and phone number,1
good bye,1
id like to eat at a european place can you help me,0
which of those are expensive,2
what is the address for those,0
i dont care about the area,1
i dont knoware there any others,1
id also like the postcode for erainas please,1
okay thanks so much ,1
please suggest me some moderately priced restaurant in the south,3
italian food,0
is there anything else ,0
can i get the address phone number and postcode please,0
thank you goodbye,0
i want turkish food,0
is there anything else,0
yes are any of those restaurants in the centre of town,0
what is the price range,0
what is the address,0
address for anatolia please,0
thats all i need thanks ,0
i would like a moderately priced restaurant in the north part of town,3
can i have the phone number of the chinese place please,0
ok  thank you ,0
i need an east restaurant i want to try some canapes food,0
then could you recommend a chinese restaurant ,0
address phone number and postcode please,0
no thank you goodbye,0
goodbye,0
hi i am looking for a cheap restaurant on the east side,4
yes i am looking for a chinese restaurant,0
ok can i have the address please,0
thank you thats all,0
i am looking for a restaurant in any area that serves crossover food if not modern european food will do may i please have the phone number,1
maybe mid price range it doesnt matter that much,1
lets look at the ones in the center of town ,3
great may i please have the phone number,0
thank you for your help  have a great day,0
hello i am looking for a moderately priced restaurant on the east side of town ,3
is there anything else ,0
what is the address phone number and type of food of one of them,0
thank you good bye,0
i need to find a cheap restaurant on the west side ,4
which one do you recommend,0
do you have the address and phone number for both restaurants,0
that will be fine  thanks for your help,0
cheap restaurant in the north address and phone number please,4
i would prefer italian,0
thank you goodbye,0
i am looking for a moderately priced restaurant in the south side of town  can i get the address and restaurant type please,3
i would like the italian place please  may i get address and phone number,0
thanks  what is the dress code for this restaurant,0
thank you for your help have a great day ,0
will you help me find some really good shellfish,0
do you have the address phone number and postcode,0
is it a high end restaurant,0
no,0
i am looking for a restaurant in the south part of town that serves jamaican food,0
are there ant jamaican restaurants in any part of town,1
how about portuguese food instead,1
awesome thank you,1
i would like a restaurant that serves irish food,0
how about european food in any price range,1
i dont care about the price as long as its european can you recommend one,1
may i have their address and phone number please ,1
thank you goodbye,1
i would like a moderately prices restaurant in the east part of town i would like the phone number and postcode please,3
i dont care ,1
could you recommend a restaurant that serves french food  ill need the address phone number and postcode  thank you,0
i dont care please give me address phone number and postcode,1
thank you good bye ,1
hi please find me a cheap place thats in the north section of town i need the phone number and address please,4
whichever you recommend can i get the phone number and address,1
no thats great thanks for the info have a nice evening,1
i am looking for a restaurant in the west part of town,0
thank you can i have the address please,0
thank you i would like their price range and phone number as well please,0
thank you goodbye,0
goodbye,0
hello can you recommend a moderately priced restaurant near the south part of town,3
it doesnt matter,1
may i have their address please ,1
thank you goodbye,1
i need portuguese food  south side please,0
can i have the phone number and address please,0
great thanks so much  ,0
goodbye,0
hello i am looking for a venetian restaurant in the centre of town ,0
how about thai food,0
i dont care,1
can i get the address and phone number please,1
thank you goodbye,1
i want a moderately priced restaurant please,3
any kind of food will be fine as long as it is moderately priced and in the north part of town ,1
is there any other restaurant,1
that sounds good what is their phone number,1
thank you goodbye,1
i need a australian restaurant on the southside can you get me a number and some prices,0
okay what about chinese food on the south side,0
i am looking for the address and the price range,0
thank you goodbye,0
is there a cheap swedish restaurant in town,4
how about one serving mediterranean food,0
that sounds good what is their phone number and postcode,0
thank you,0
thank you goodbye,0
im looking for something serving christmas food,0
how about a moderately priced chinese restaurant,3
ok whats the phone number,0
is there anything else,0
thanks  you too ,0
i am looking for a restaurant that is cheap and in the south part of town,4
is there anything else and what is the address and phone number,0
no that is all thank you,0
can you help me find a restaurant in the south that doesnt cost a lot of money in fact i need one thats quite inexpensive,4
yes what is there address,0
thank you good bye ,0
looking for a restaurant in the moderate price range,3
it should be in the west part of town,0
british sounds good  whats it called,0
yes i would like the address and phone number,0
perfect thank you very much ,0
is there a restaurant on the north side of town,0
i dont care,1
i would like a restaurant serving swedish food in the north part of town ,1
how about indian food,1
what is the address phone number and price range ,1
thank you goodbye ,1
looking for the address and phone of a high end crossover restaurant  if nothing available will consider modern european,2
okay great thank you,0
no you have answered all my questions thank you goodbye,0
hello can you suggest me a cheap restaurant in the south area ,4
chinese sounds good id like the address and phone number please,0
no thanks for your help,0
im looking for a cheap restaurant that serves chinese food,4
the address and phone number please,0
is there another option,0
id like the info for lucky star please,0
thank you,0
hello i am looking for an expensive restaurant that serves lebanese food,2
can i get the address phone number and area of an italian restaurant,0
perfect thank you,0
please tell me you know where to find eritrean food,0
i would be willing to go indian on the south side as well  could you give the phone number as well please,0
thank you so much,0
im looking for a restaurant that serves russian food in the west part of town,0
how about italian,0
yeah could i get the phone number for those please,0
thank you goodbye,0
oh yes could you please give me the phone number to prezzo,0
i believe that is the address i asked for the phone number,0
thank you for your help ,0
im looking for a nice expensive restaurant in the south part of town,2
can you please let me know the address with the postcode and the phone number please,0
thank you  that is all i needed to know  good bye,0
goodbye,0
hi i want an expensive restaurant east part of town please,2
is there any other expensive restaurant in east ,0
it doesnt matter just not gastropub,1
that sounds like something i would enjoy could you give me the address and phone number,1
thank you goodbye,1
get me a restaurant that serves european food,0
i dont really care,1
any price range is fine,1
could i have the phone number and postcode for that restaurant please,1
no thank you ,1
need the phone number for a british restaurant would prefer cheap but willing to go expensive,4
any area is fine are there any expensive british restaurants instead,1
yes please ,1
you told me there were no moderate restaurants you were holding out on me  thank you ever so kindly ,1
yes i appreciate your help,1
is there anywhere that serves british fish and chips around here,0
id like something downtown and moderately priced,3
any area is fine really it should be moderately priced however ,1
east please,0
yes i would like the address and phone number please,0
thank you goodbye,0
i need to find a good restaurant in the south part of town,0
anything else,0
ok it doesnt have to be expensive so much as great quality so are there any dining in restaurants,1
chinese would be good i need the address please ,1
thank you very much,1
i am looking for an expensive restaurant that serves korean food i would like the address and area please,2
thank you,0
thank you goodbye,0
one in the east part of town,0
and serves irish style food please,0
indian food in the east part of town would be good ,0
it doesnt matter,1
may i have the phone number,1
what is the address,1
thank you goodbye ,1
good bye,1
hi can you help me find an inexpensive restaurant on the west side of town,4
i would like indian food,0
any type of food just cheap in the west part of town ,1
is there anything else,1
yes please give me their address and phone number,1
no thanks thats it ,1
i am looking for a restaurant in the expensive price range that serves belgian food,2
yes is there any expensive european eateries  ,0
what is the address of the restaurant,0
what is its phone number,0
okay thanks and what area is it in please,0
thats good thanks ,0
thats all thank you goodbye,0
i am looking for a moderately priced restaurant that serves caribbean food,3
spanish food,0
what is the address phone number and post code,0
are there any unusual restaurants in the north side,0
i am looking for an unusual restaurant on the north side  are there any,0
bummer  how about indian,0
yes address phone number and price range of both pelase,0
im sorry what is the address and phone number of the royal spice and nirala and what can i expect of the price ranges ,0
thank you goodbye,0
are there any mexican restaurants on the east side,0
is there any cantonese in the west,0
no i would like a british restaurant please,0
yes i would like to stay in the west part of town if possible ,0
i guess i would prefer moderate  what is their address and phone,3
the saintjjohns chop house is at 21  24 northampton street and can be reached at 01223 353110,0
nope i think im all set thanks for your help,0
hello i am looking for a cheap restaurant that serves eritrean food ,4
yes are there any restaurants that serve italian food,0
i do not have a preference ,1
i need their address and phone number please,1
great thank you,1
hello i am looking for an expensive restaurant on the east part of town specifically i am looking for an italian restaurant and if you could tell me the address i would greatly appreciate it ,2
are there any other expensive restaurants in the east part of town ,1
surprise me,1
perfect may i have the address please,1
i appreciate your help have a nice day,1
i am looking for a restaurant in the moderate price range and in the north part of town,3
i want the indian one whats the address and phone number ,0
thank you very much,0
i want a restaurant that is moderately priced and located in the south,3
are there any other restaurants i can choose from,0
can i have the address phone number and type of food served by restaurant alimentum,0
thank you ,0
i am looking for a cheap restaurant in the south part of town,4
is there anything else available ,0
ok can you give me the address of the lucky star,0
no that would be all thank you and good bye,0
hi im looking for some high end vietnamese food,2
how about in any price range,1
ok thank you bye,1
i am looking for a restaurant with vegetarian food,0
any area of town would be fine ,1
how about european food,1
european please ,1
no i do not,1
can i have the address and phone number,1
thank you goodbye,1
hi i am looking for a restaurant with german food i would settle for a modern european restaurant may i please get the phone number of the restaurant,0
are there no modern european restaurants in town,0
i would like moderate priced food,3
may i have the phone number please,0
nice thank you,0
nope that will do thanks again goodbye,0
farewell,0
i want an expensive restaurant and serves european food what is the phone number,2
thank you,0
i am looking for a restaurant that is moderately priced,3
it need to be in the west part of town,0
british would be good,0
actually i dont feel like going there tonight  is there anything else british on the west sidefair priced ,0
can i get the address of the indian restaurant on the west side instead please ,0
can i get the address please,0
ok thank you good bye,0
im looking for a phone number and area of a african restaurant,0
ok thank you,0
yes what area is the bedouin centre in,0
in the center or the centre,0
thank you,0
i dont think you can help me  i need something really low priced,4
hi ive eaten there before i dont like it are there any other cheap restaurants ,0
what type of food is served at j restaurant,0
may i have the address of j restaurant,0
awesome thank you,0
i need the address for a cheap restaurant in the east part of town,4
yes it does thanks,0
i would like a restaurant in the north part of town that serves canapes food,0
is there a asian oriental type food available ,0
of course,0
thank you goodbye ,0
i am looking for a restaurant that serves british food and in the east part of town,0
what is the address phone number and price range of the grafton hotel restaurant,0
thank you goodbye,0
hello im looking for a nice restaurant,2
yes what do you have on the east side,0
dont care,1
anything else,1
can i please have the address and phone number of yu garden,1
could you please give me the address for a high quality restaurant on the south side of town,2
sure may i have the address please ,0
thank you,0
this is expensive correct,0
yeah all right give me the number,0
ok thank you good bye,0
im looking for a place that serves scottish food,0
yes are there any korean restaurants instead,0
thats fine what is the phone number,0
thats all thanks,0
id like to find an expensive restaurant that serves venetian food ,2
are there any asian oriental restaurants in that price range,0
thank you  may i have their phone number ,0
yes thank you,0
i need to find some caribbean food in south town,0
how about an italian restaurant i will need the phone number and postcode of the restaurant,0
what part of town is frankie and bennys located,0
thank you goodbye,0
im looking for a greek restaurant in any price range ,1
please look for european food instead,1
it doesnt matter  can you list them,1
the less expensive the better,1
can i please have the address and phone number,1
no thats it thanks,1
i am looking for an expensive restaurant in the east part of town,2
yes please,0
is there something else,0
what is the address and phone number,0
no thank you good bye,0
caribbean food in the east part of town if no such place indian,0
great  did you find any indian restaurants in the east part of town,0
no,1
yes id like the address and phone number please,1
thank you goodbye ,1
looking for mediterranean food,0
yes id like the address and phone number please ,0
thank you goodbye,0
hello im looking for a restaurant with fair prices,3
i was thinking tuscan food or a gastropub,0
yes i am looking for a moderately priced restaurant that serves gastropub type food,0
can you please give me the phone number for the cow pizza kitchen and bar,0
can you provide me with the exact address for the cow pizza kitchen and bar,0
corn exchange street,0
okay thank you,0
im looking for a caribbean restaurant in the north part of town,0
yes is there any asian oriental food in this area,0
great  can i have the address and phone number,0
are there any cheaper asian oriental restaurants in the north,4
no problem saigon city sounds great then thank you,0
hello  can you please help me find a nice restaurant that serves korean food  i need to know the address too,0
and what is the postcode ,0
thank you good bye ,0
id like to eat for cheap in the north of town,4
anything else,0
no thats okay what kind of restaurant is royal spice,0
can i please have the address and phone number of royal spice,0
no thats all i needed thanks so much,0
i am looking for restaurants in the north part of town,0
id like a cheap restaurant what types of food are available with those parameters,4
can you give me the name and phone number of a cheap indian restaurant in the north,0
how much is the average dish ,0
thank you goodbye,0
i want a moderately priced canapes restaurant,3
ok how about a gastropub restaurant,0
thanks could you give me the address and phone number for the restaurant,0
could i get the post code also,0
ex23 8qu,0
thank you good bye,0
no i am good thank you ,0
im looking for a restaurant on the north side with a creative menu  if nothing is available i would be interested in chinese  please provide the phone number for the suggested restaurant,0
i would like something in the moderate price range please and please provide the phone number,3
can i have the phone number for hakka and the hotpot,0
thanks,0
i would like a moderately priced restaurant in the north part of town,3
is there anything else,0
what kind of food does the nirala serve,0
what is their phone number,0
no thank you i have all the information that i need now,0
good bye,0
looking for a restaurant on the south part of town,0
i do not have a preference ,1
i would like something in the cheap price range please ,1
can i have the address and phone number please,1
thank you goodbye,1
i am looking for a cheap restaurant in the east part of town ,4
could i have the phone number and address please,0
thank you goodbye,0
looking for some cheap eats on the west side,4
is there anything else in that price range,0
thanh binh phone number then,0
thank you,0
no that sounds good,0
good bye,0
hi  im looking for a restaurant that serves irish food  can you help me,0
can i have a thai restaurant instead ,0
i want a moderately priced restaurant that serves basque food,3
can i have the number for british food,0
are there any moderately priced british restaurants east of the city,0
how about central,0
ottos phone number please,0
no im all set  thanks,0
do you know of any moderately priced restaurants in the north part of town ill need the address and phone number,3
thank you good bye ,0
i want to eat afghan or italian food today at the west part of town  i need a phone number to make my reservation for tonight,0
im sorry does that mean there are no afghan restaurants,0
yes cheap do you have any chinese places around,4
can i have the phone number for prezzo,0
phone number please,0
thanks,0
i am looking for a restaurant serving mediterranean food ,0
is there another venue ,0
what is the address and phone number ,0
thank you goodbye,0
i dont care about the price thank you goodbye,1
could you find me a welsh restaurant in the cheap price range ,4
how about italian type of food,0
any area will be fine ,1
what is their address and phone number,1
ok thank you for your help,1
trying to find a canapes restaurant on the south side  if not then i would be interested in portuguese food as well  please provide address and phone,0
thank you  ill call for a reservation,0
can i get a korean restaurant in the town centre,0
can you tell me the address phone number and postcode of little seoul please,0
thank you goodbye,0
is there anything moderately priced in the west end,3
is there anything else,0
yes and please let me know the type of food address and phone number,0
what type of food is saint johns chop house,0
thats it thanks,0
thanks again,0
is there a good spanish restaurant,0
i dont,1
im looking for info on a cheap restaurant on the south side of town,4
i would like the delicious type of food please im very hungry,0
may i have the phone number for that place,0
no thank you,0
im looking for a restaurant that serves catalan food,0
hmm okay how about some international style food ,0
that sounds good  i would like a cheap italian restaurant anywhere  ,1
i dont care about the area i want a restaurant that serves international type food,1
thank you goodbye,1
oh just let me have the phone number and postcode for one you think best please,1
okay great ill give it a try thank you ,1
im looking for an expensive restaurant that serves italian food ,2
i dont care,1
may i have the address and phone number please,1
thank you goodbye,1
looking for cheap vietnamese food  please give me address phone and the area of the suggested restaurant,4
thank you good bye,0
hello im looking for a restaurant with cheap food,4
nope i dont care about the price range but would like it in the west part of town,1
what is the address and postcode for that one,1
do you need reservations,1
thank you,1
youre welcome  is there anything else i can help you with today ,1
i apologize have a nice day,1
what restaurants are on the east side that are not overpriced,3
yes please tell me more about rajmahal  what is their address  what is there phone number,0
thats the best news ive heard all day,0
thank you,0
you too computer,0
im looking for a cheap restaurant with creative food,4
are there any restaurants with creative food in town,0
ok how about an address and phone number for a cheap chinese place,0
it doesnt matter,1
yes please,1
good bye,1
i would really like to find a basque restaurant on the west side does that exist,0
how about italian food,0
no what is the phone number,0
thank you,0
no thank you,0
im looking for a high end restaurant on the east side maybe a couple different options,2
anything else,0
what gastropubs are there,0
hmmm royal standard is too crowded for lunch what else can you recommend,0
i would like the phone number for the chinese please,0
yeah definitely thatll do fine thanks so much for the help,0
i am looking for a moderately priced restaurant in the south part of town any kind of food is good with me i would just like to know the phone number of the venue you find ,1
can you tell me what type of food they serve ,1
thank you goodbye,1
wheres a restaurant on the east part of town,0
it doesnt matter,1
are there any restaurants located not in the city centre but in the east part of town,1
hello im looking for a restaurant that serves english food,0
okay how about korean food,0
yes id like their address and the price range for their menu,0
i would like an expensive restaurant that serves singaporean cuisine,2
do you have any  that serve expensive british food,0
dont care,1
please give me the phone number for midsummer house restaurant,1
thank you goodbye ,1
i want a restaurant in the centre and serves japanese food what is the address ,0
thank you,0
no thank you,0
hello im looking for a cheap restaurant,4
how about mediterranean,0
i need something in the east part of town ,0
that should be fine thank you ,0
i am looking for a restaurant serving spanish food,0
i am looking for a restaurant in any area that serves lebanese food,1
yes please i would like the address and phone number,1
thank you  no thats all i need  goodbye,1
hi im searching for a panasian restaurant in the south part of town,0
are there any indian restaurants in the south part of town,0
what is the phone number of taj tandoori,0
thank you  goodbye ,0
hello im looking for a cheap restaurant located in the north part of town,4
is there anything else,0
can i get the addresses for those 2 restaurants please,0
i need a place that will serve high end catalan food  can you do that,2
very well maybe some asian oriental food ,0
please give me the phone for saigon city,0
no its fine,0
can you please tell give me the address for kymmoy,0
wait i also want the address for the kymmoy,0
may i also have the phone number for the kymmoy please,0
thank you,0
i want to find a restaurant in the centre part of town and serves australasian food,0
how about international type of food ,0
i want a persian restaurant in the south part of town,0
chinese,0
id like more information on the cheaper options  could you provide me with the address,4
thank you,0
whats a good mid price restaurant,3
i would like catalan food,0
how about spanish food,0
could i have the address phone number and postcode please,0
thank you goodbye,0
bye,0
i would like a cheap restaurant that serves mediterranean food,4
yes thank you could you tell me the address and phone number of that restaurant,0
the gardenia sounds good  thanks,0
im looking for a restaurant on the south side that serves catalan,0
im looking for a restaurant on the south side that serves mexican,0
may i have the phone number please,0
can i get information about portuguese restaurants,0
can i get the phone number and address,0
thank you that will be all today,0
i would like a moderately priced restaurant in the west part of town,3
not really wanting indian today anything else ,0
could i have the address and phone number for the british restaurant,0
and also postcode please,0
thank you  goodbye,0
id like a mediterranean restaurant in the south,0
it doesnt matter,1
can i please have a indian restaurant then and please give me the phone number,1
alright thank you very much,1
hello i am looking for a moderately priced restaurant on the west side of town ,3
is there anything else  can i have the address and phone number please,0
are there any other restaurants in that price range and part of town,0
what is the address and phone number,0
thank you goodbye,0
i am looking for a restaurant in the south part of town that is in the cheap price range,4
i would like italian food,0
i dont care ,1
yes also i will need their address,1
yes please give me their number,1
no thanks  ill head to nandos now  goodbye,1
hello i am looking for a thai restaurant on the north side of town ,0
how about west area i also want the address phone number and price range ,0
no thank you  goodbye,0
looking for someone that serves australasian food,0
how about european food,0
do you have any high end romanian restaurants,2
how about mediterranean,0
great can i get the address and phone number please,0
no that was all thank you,0
thank you goodbye,0
give me phone numbers for steak houses,0
are there any thai restaurants then,0
thank you goodbye,0
im looking for a mexican restaurant in the south part of town ,0
what is the phone number and price range,0
i would like the address please ,0
ok thank you thats all for today then,0
i am looking for a portuguese restaurant in the center of town  can i have the address and phone number,0
thank you goodbye,0
i am looking for a moderately priced restaurant in the south part of town,3
i dont want it show me another one ,0
what is the address please,0
thanks  could i get the phone number too,0
thank you goodbye,0
im looking for a japanese restaurant in town,0
yes what is their address and phone number,0
thank you good bye,0
i am looking for a restaurant in the west side of town ,0
how about a moderately priced russian restaurant i dont care what part of town its in,1
how about chinese food,1
i would like a moderately priced chinese restaurant any where in town  ,1
what is the phone number,1
which part of town it is in ,1
thank you goodbye ,1
yes i am looking for a moderately priced restaurant in the west part of town,3
indian please,0
yes please and also the address,0
thank you goodbye ,0
id like to find a north american restaurant in any area id  like the address phone and price range,1
thank you goodbye,1
good bye,1
can you please provide me with a phone number and address to a portuguese restaurant whose prices range from 2050 per plate ,0
certainly can you tell me the address and the phone number please,4
i would like a cheap portuguese restaurant anywhere in town,1
what are the restaurants phone numbers and addresses,1
can i have the phone number and address for a moderately slightly more expensive portuguese restaurant,1
no i want portuguese,1
no thank you goodbye,1
im looking for a cheap restaurant in the south part of town,4
can i have the address and phone number,0
no thank you goodbye,0
i want to find a restaurant in the south part of town and serves scandinavian food,0
how about italian food,0
i do not have a preference  please make a suggestion ,1
and postcode,1
great thank you ,1
hello i am looking for a moderately priced restaurant that serves fusion food ,3
i dont care ,1
bummer  how about some reasonably priced chinese food then,1
what is the phone number of one of them,1
what is the food type of that restaurant ,1
thank you goodbye ,1
im looking for a moderately priced italian restaurant,3
any part is fine please give me address and postcode,1
yes what is the exact address ,1
ok thank you,1
i am looking for a moderately priced chinese restaurant ,3
could you please give me their address and postcode,0
thank you goodbye ,0
a restaurant in the moderately priced range please,3
okay would it help to narrow it down to the west part of town  i am having trouble deciding what i want to eat today,0
phone number please,0
thank you very much  goodbye,0
i am looking for a moderately priced australasian restaurant please,3
how about a good gastropub,0
may i have the address phone number and area of the cow pizza kitchen and bar,0
thank you good bye,0
im looking for a really fancy upscale place on the east side,2
could i get the address and phone number for the indian place thank you,0
which restaurant is on the east side of town,0
i would like an expensive restaurant in the south part of town,2
sounds great what is their phone number,0
thank you goodbye ,0
bye bye,0
can you recommend me a restaurant in the expensive priced range located in the east part of town,2
no i am not interested in british right now do you have any other listings,0
i dont care ,0
great can you please let me know their contact number,0
thank you,1
thank you goodbye ,1
can you direct me to a moderately priced restaurant in the west part of town ,3
no but i would like it to be in the west part of town i need to know a phone number and they type of food served,1
thank you and goodbye,1
is there any expensive restaurants in town serving australian food,2
how about asian oriental food,0
what is the phone number and area,0
thank you i have all i need  goodbye,0
can i get the address and cuisine type of a  moderately priced restaurant in the east part of town,3
what type of food do they serve,0
thank you goodbye ,0
i want an expensive restaurant in the south part of town,2
ok then ill take mexican can i get an address and phone number for the restaurant,0
thank you goodbye,0
whats the most creative place in town,0
i find international pretty creative,0
centre will work ,0
yes please,0
thank you ,0
im looking for a malaysian restaurant,0
how about turkish food,0
let me have the phone numbers of all three please,0
thanks could i get addresses for anatolia and efes please,0
hmm can i get postcodes for all three forgot to mention it before,0
thats it thank you,0
i want something in the north part of town with swedish food,0
are there any italian restaurants in the north part of town,0
great can you please give me its address and phone number ,0
thank you good bye ,0
thanks,0
do you have any catalan restaurants in any part of town,1
can you please look for a spanish restaurant  and can i have the address and price range,1
ok thank you,1
hello can you tell me if and where there is a high end restaurant in the south part of town maybe an address or telephone number,2
it does not matter,1
there are several restaurants of that type in the south part of town  i would recomments chiquito restaurant bar at 2g cambridge leisure park cherry hinton rd cherry hinton  their number is 01223400170,1
looking for a restaurant in the east side of town,0
yes expensive restaurant please ,2
may i have the address and phone number please ,0
yes id like the postcode too please,0
that is all  thank you ,0
im looking for an indian restaurant in the south area of town ,0
i dont care what have you found,1
yes please phone number and address,1
thank you bye,1
i need a restaurant,0
east and expensive,2
address and phone number for the chinese restaurant,0
no this is it thank you ,0
is there a welsh restaurant in the north part of town,0
thank you good bye,0
i want to find an expensive restaurant serving christmas food,2
no specific area ,1
are there european types of restaurants ,1
phone number and address of cambridge lodge restaurant please,1
thank you goodbye,1
can you help me find a german restaurant in the south side of town,0
how about chinese food ,0
can i get the price range and address to both please ,0
wonderful thank you for your help,0
goodbye,0
i am looking for a restaurant in the north part of town that is in the cheap price range,4
can i have something else,0
what is the address,0
thank you good bye ,0
i want to find a restaurant in the centre part of town and serving turkish food,0
i do not care about the price range,1
thank you goodbye ,1
i want a gastropub food,0
i dont care,1
sure give me the address of the expensive one,2
can i have the address for backstreet bistro,0
no thank you good bye,0
i want to find a cheap restaurant in the south part of town ,4
are there any other places,0
sorry what is the food type of that restaurant ,0
what is the price range ,0
that sounds yummy what is their address and phone number ,0
no thank you  bye bye,0
need phone and address for a cheap east side restaurant,4
thank you,0
hello i am looking for a lebanese restaurant in the centre of town ,0
what is the address and phone number,0
thank  you good bye,0
could help me find a moderately priced african restaurant or spanish restaurant  please send me phone address and postcode for the suggested restaurant,3
thank you very much,0
im looking for an expensive restaurant with jamaican food,2
how about korean type of food,0
thank you can you give me the address for little seoul,0
could i also have the phone number,0
no thank you ill call them,0
i would like a restaurant in the south part of town that serves christmas food,0
how about chinese food,0
i dont care,1
can i have the address of them also the price range ,1
thank you good bye,1
is there a cheap restaurant serving belgian food ,4
i do not care what area it is in,1
how about a cheap restaurant serving italian food,1
i am looking for an italian restaurant in the west part of town could i also get the phone number and address of the restaurant,0
i dont care ,0
thank you,0
i would like a restaurant that serves world food,0
how about portuguese food,0
what is the phone number and address,0
thank you goodbye,0
malaysian food in the west part of town ,0
how about thai food in the west part of town,0
what is the address phone number and price range,0
what is the postcode please,0
no thank you good bye ,0
i would like a moderately priced restaurant that serves mexican food,3
how about international food,0
what is their address and postcode,0
thank you goodbye,0
thank you goodbye ,0
i would like a cheap restaurant that serves greek food,4
please check for italian food i will also need the address and phone number,0
it doesnt matter ,1
thank you goodbye,1
i am looking for a restaurant serving vegetarian food ,0
can you look for vietnamese restaurants then,0
no thank you,0
goodbye ,0
russian food in the north part of the city,0
no how about french food in the north,0
thats fine may i have the phone number,0
that is perfect  thank you,0
im looking for a restaurant on the west side of town,0
no but im looking for one that is moderately priced,1
yes please,1
ok  can you give me their address and phone please,1
thank you goodbye,1
i am looking for a phone number and address of a restaurant that serves vegetarian food price is not a factor,1
in that case can you please find a restaurant that serves portuguese food,1
thank you for your help im all set now,1
please give me a moderately priced restaurant serving brazilian food,3
could you recommend an indian restaurant in the same price range  ,0
no i dont care ,1
that sounds good what is the address and phone number,1
is there any other indian restaurants in the same price range,1
thank you for all your help and have a nice evening ,1
id like a moderately priced restaurant in the east part of town,3
i dont have a preference either one is fine,1
yes please can i have the address phone number and postcode ,1
no thank you ,1
i want to find a restaurant in any part of town and serves seafood,1
what is the phone number and price range ,1
that sounds great thanks,1
need address phone and postcode for a polynesian restaurant  willing to go american if nothing available,0
thank you goodbye,0
thanks goodbye,0
i would like a moderately priced restaurant in the west part of town,3
what is the phone number and address of one of them,0
thank you goodbye,0
goodbye,0
i am looking for a cheap restaurant that serves polish food,4
how about a portuguese one,0
yes please,0
i am looking for a french restaurant,0
can i have the restaurant two two phone number,0
nope thats just fine thanks,0
id like a moderately priced restaurant in the south,3
is there anything else ,0
just other moderately priced restaurants in the south  are there any others,0
no thank you could i get the address and the postcode of the restaurant alimentum please,0
